inst,pin,x,y,dist_left,dist_right,dist_bottom,dist_top
_07627_,B1,508.77502,273.9271,508.7750244140625,363.2249755859375,273.9270935058594,593.2604064941406
_08243_,B1,516.43756,218.27084,516.4375610351562,355.56243896484375,218.27084350585938,648.9166564941406
_09916_,A1,502.72296,301.57294,502.72296142578125,369.27703857421875,301.57293701171875,565.6145629882812
_09917_,A1,526.5417,294.21875,526.5416870117188,345.45831298828125,294.21875,572.96875
_07602_,A,487.2917,294.40625,487.29168701171875,384.70831298828125,294.40625,572.78125
_07604_,D,499.39587,287.28125,499.3958740234375,372.6041259765625,287.28125,579.90625
_07608_,A1,495.00003,301.67712,495.0000305175781,376.9999694824219,301.6771240234375,565.5103759765625
_07575_,B1,516.43756,329.27087,516.4375610351562,355.56243896484375,329.2708740234375,537.9166259765625
_07681_,A,581.48334,315.27087,581.4833374023438,290.51666259765625,315.2708740234375,551.9166259765625
_07476_,A,589.56256,280.70834,589.5625610351562,282.43743896484375,280.7083435058594,586.4791564941406
_07632_,B_N,575.57294,287.28125,575.5729370117188,296.42706298828125,287.28125,579.90625
_07651_,A,603.43756,308.09378,603.4375610351562,268.56243896484375,308.0937805175781,559.0937194824219
_07657_,A,589.60425,301.52087,589.604248046875,282.395751953125,301.5208740234375,565.6666259765625
_07662_,C_N,581.76044,287.4479,581.7604370117188,290.23956298828125,287.4479064941406,579.7395935058594
_07663_,A,594.62506,273.40625,594.6250610351562,277.37493896484375,273.40625,593.78125
_07669_,A,604.4834,280.58334,604.4833984375,267.5166015625,280.5833435058594,586.6041564941406
P1.IR[31]$_DFF_PP0_,Q,490.06253,218.53127,490.0625305175781,381.9374694824219,218.53126525878906,648.6562347412109
_07614_,A2,526.4792,606.41675,526.4791870117188,345.52081298828125,606.416748046875,260.770751953125
_07613_,A,531.6042,606.7709,531.6041870117188,340.39581298828125,606.7708740234375,260.4166259765625
_07537_,A,518.5,634.573,518.5,353.5,634.572998046875,232.614501953125
_07526_,A,514.69165,585.59375,514.691650390625,357.308349609375,585.59375,281.59375
_07517_,A,531.5,592.948,531.5,340.5,592.947998046875,274.239501953125
_07504_,A,511.61877,592.948,511.6187744140625,360.3812255859375,592.947998046875,274.239501953125
_07480_,A,523.525,599.6563,523.5250244140625,348.4749755859375,599.6563110351562,267.53118896484375
P1.IR[3]$_DFF_PP0_,Q,546.0625,620.9063,546.0625,325.9375,620.9063110351562,246.28118896484375
_07483_,B,508.9167,550.90625,508.91668701171875,363.08331298828125,550.90625,316.28125
_07518_,B,512.3959,502.70837,512.3958740234375,359.6041259765625,502.7083740234375,364.4791259765625
_07539_,A,505.50003,620.698,505.5000305175781,366.4999694824219,620.697998046875,246.489501953125
_07540_,A1,504.70837,557.84375,504.7083740234375,367.2916259765625,557.84375,309.34375
_07547_,D,516.67706,544.38544,516.6770629882812,355.32293701171875,544.3854370117188,322.80206298828125
